time_stamp	time	cpu_freq	cpu	cpu_user_time	cpu_system_time	cpu_idle_time	memory	net_sent	net_recv	net_upload_rate	net_download_rate	temp	wifi_freq	bit_rate	link_quality	link_quality_max	signal_level	gpu	gpu_mem	state	net
14-5-2022 21:42:9	1652578929.0821602	1200.0	38.5	1215057.32	97030.43	7667999.99	23.9	648666470	7032055323	0.0	0.0	57.939	0	0	0	0	0	0	0	"mining"	
14-5-2022 21:42:15	1652578935.1453629	900.0	24.9	1215057.93	97030.8	7668018.39	24.5	648748226	7032067224	0.00013483963035698874	1.9628240629171227e-05	57.939	0	0	0	0	0	0	0	"mining"	
14-5-2022 21:42:20	1652578940.1493714	800.0	25.9	1215057.95	97030.89	7668033.41	24.2	648748268	7032068066	8.393271061594077e-08	1.6826510080624316e-06	57.939	0	0	0	0	0	0	0	"mining"	
14-5-2022 21:42:25	1652578945.153374	1200.0	16.9	1215057.98	97030.95	7668049.79	24.2	648748268	7032068496	0.0	8.593121084367544e-07	57.452	0	0	0	0	0	0	0	"mining"	
14-5-2022 21:42:30	1652578950.1561255	1200.0	97.8	1215071.37	97031.14	7668052.76	25.2	648752976	7032078926	9.410821057995305e-06	2.0848526685405908e-05	62.322	0	0	0	0	0	0	0	"mining"	
14-5-2022 21:42:35	1652578955.1622548	1200.0	99.7	1215088.9	97031.18	7668053.04	25.3	648753320	7032079713	6.871576457616215e-07	1.572072869809291e-06	62.322	0	0	0	0	0	0	0	"mining"	
14-5-2022 21:42:40	1652578960.1641245	1200.0	99.5	1215106.54	97031.21	7668053.15	25.3	648753362	7032079988	8.39686011423989e-08	5.497944122418975e-07	64.27	0	0	0	0	0	0	0	"mining"	
14-5-2022 21:42:45	1652578965.168141	1200.0	99.5	1215121.52	97031.33	7668053.28	25.4	648754737	7032082015	2.7477927533758464e-06	4.050746117158429e-06	65.244	0	0	0	0	0	0	0	"mining"	
14-5-2022 21:42:50	1652578970.1721249	1200.0	99.3	1215136.44	97031.41	7668053.51	25.4	648755812	7032083681	2.148288254893338e-06	3.329347193164931e-06	66.218	0	0	0	0	0	0	0	"mining"	
14-5-2022 21:42:55	1652578975.1761265	1200.0	99.5	1215151.39	97031.49	7668053.69	25.4	648756222	7032084319	8.193442595456975e-07	1.2749796038784268e-06	66.705	0	0	0	0	0	0	0	"mining"	
14-5-2022 21:43:0	1652578980.1801229	1200.0	99.5	1215168.84	97031.55	7668053.8	25.2	648756740	7032086118	1.035172612984712e-06	3.5951265072577164e-06	66.218	0	0	0	0	0	0	0	"mining"	
14-5-2022 21:43:5	1652578985.1862519	1200.0	96.5	1215184.68	97031.62	7668054.05	25.4	648757970	7032087683	2.4569882108718452e-06	3.126167926841006e-06	66.705	0	0	0	0	0	0	0	"mining"	
14-5-2022 21:43:10	1652578990.1881201	1200.0	99.5	1215201.06	97031.68	7668054.16	25.5	648759284	7032089252	2.6270184156272482e-06	3.1368279255092482e-06	67.679	0	0	0	0	0	0	0	"mining"	
14-5-2022 21:43:15	1652578995.1921644	1200.0	99.5	1215218.13	97031.78	7668054.31	25.4	648759971	7032090632	1.3728895261272575e-06	2.7577693537927443e-06	67.679	0	0	0	0	0	0	0	"mining"	
14-5-2022 21:43:20	1652579000.1961238	1200.0	99.7	1215235.78	97031.82	7668054.41	25.5	648760211	7032092773	4.796201966950171e-07	4.278611838016799e-06	68.653	0	0	0	0	0	0	0	"mining"	
14-5-2022 21:43:25	1652579005.2001228	1200.0	90.3	1215253.22	97031.87	7668055.05	25.4	648761029	7032094453	1.6346925745700235e-06	3.357314823077799e-06	68.653	0	0	0	0	0	0	0	"mining"	
14-5-2022 21:43:30	1652579010.2041216	1200.0	98.2	1215271.18	97031.91	7668055.42	25.5	648761071	7032094943	8.393287457597789e-08	9.792168700530754e-07	68.166	0	0	0	0	0	0	0	"mining"	
14-5-2022 21:43:35	1652579015.208123	1200.0	94.7	1215288.71	97031.96	7668056.11	25.4	648761760	7032095607	1.3768981017664936e-06	1.326938083560162e-06	68.653	0	0	0	0	0	0	0	"mining"	
14-5-2022 21:43:40	1652579020.2141926	1200.0	98.0	1215305.66	97032.0	7668057.3	25.5	648763375	7032098804	3.226083753576348e-06	6.386247529525439e-06	69.627	0	0	0	0	0	0	0	"mining"	
14-5-2022 21:43:45	1652579025.2161276	1200.0	98.0	1215323.08	97032.07	7668058.04	25.5	648764064	7032100052	1.3774669188731396e-06	2.49503441909097e-06	69.14	0	0	0	0	0	0	0	"mining"	
14-5-2022 21:43:50	1652579030.2201235	1200.0	98.0	1215340.78	97032.13	7668058.6	25.5	648764450	7032100724	7.71383526425224e-07	1.3429267610304418e-06	69.627	0	0	0	0	0	0	0	"mining"	
14-5-2022 21:43:55	1652579035.224121	1200.0	92.2	1215357.8	97032.2	7668059.62	25.5	648765485	7032102026	2.0683463305032946e-06	2.601919731705594e-06	70.114	0	0	0	0	0	0	0	"mining"	
14-5-2022 21:44:0	1652579040.2281196	1200.0	92.0	1215375.16	97032.24	7668060.48	25.4	648767214	7032105860	3.4552368346712935e-06	7.66187277277602e-06	69.627	0	0	0	0	0	0	0	"mining"	
14-5-2022 21:44:5	1652579045.2321243	1200.0	98.2	1215392.09	97032.3	7668061.65	25.4	648768590	7032107503	2.7497975678564415e-06	3.2833702063867246e-06	68.653	0	0	0	0	0	0	0	"mining"	
14-5-2022 21:44:10	1652579050.236125	1200.0	98.2	1215409.51	97032.36	7668062.5	25.4	648769559	7032109063	1.9364505824673747e-06	3.1175055816812225e-06	70.601	0	0	0	0	0	0	0	"mining"	
14-5-2022 21:44:15	1652579055.2422354	1200.0	98.0	1215427.23	97032.41	7668063.06	25.5	648769902	7032110362	6.851626723227996e-07	2.594828896056317e-06	70.114	0	0	0	0	0	0	0	"mining"	
14-5-2022 21:44:20	1652579060.2444623	1200.0	98.0	1215444.86	97032.46	7668063.64	25.4	648770398	7032111166	9.91558393697875e-07	1.6072841704296202e-06	70.601	0	0	0	0	0	0	0	"mining"	
14-5-2022 21:44:25	1652579065.2481241	1200.0	97.5	1215462.53	97032.5	7668064.24	25.5	648770743	7032111953	6.894950316338127e-07	1.5728480866545235e-06	69.627	0	0	0	0	0	0	0	"mining"	
14-5-2022 21:44:30	1652579070.2521224	1200.0	98.0	1215480.47	97032.53	7668064.64	25.5	648770917	7032112360	3.477219420924716e-07	8.133496001818157e-07	70.601	0	0	0	0	0	0	0	"mining"	
14-5-2022 21:44:35	1652579075.2581809	1200.0	93.9	1215497.74	97032.6	7668065.45	25.6	648771607	7032113437	1.378329890211098e-06	2.1513931764599313e-06	71.088	0	0	0	0	0	0	0	"mining"	
