time_stamp	time	cpu_freq	cpu	cpu_user_time	cpu_system_time	cpu_idle_time	memory	net_sent	net_recv	net_upload_rate	net_download_rate	temp	wifi_freq	bit_rate	link_quality	link_quality_max	signal_level	gpu	gpu_mem	state	net
15-4-2022 13:3:46	1650042226.9166179	1500.0	22.5	119324.53	22131.7	3301542.43	25.2	88456551	1587052203	0.0	0.0	34.076	5.745	433.3	66	70	-44	0	0	"game"	
15-4-2022 13:3:53	1650042233.0063643	800.0	9.5	119326.48	22132.28	3301563.53	26.3	88721257	1587057577	0.00043467490982939327	8.8246695028566e-06	35.05	5.745	24	68	70	-42	0	0	"game"	
15-4-2022 13:3:58	1650042238.010318	1500.0	6.1	119327.8	22132.63	3301581.3	26.5	88721257	1587057979	0.0	8.033647481146819e-07	36.511	5.745	24	68	70	-42	0	0	"game"	
15-4-2022 13:4:3	1650042243.0144405	700.0	10.8	119329.0	22132.95	3301599.21	26.6	88721257	1587058381	0.0	8.033376488072621e-07	36.511	5.745	24	68	70	-42	0	0	"game"	
15-4-2022 13:4:8	1650042248.0183299	800.0	11.7	119330.61	22133.59	3301616.42	26.7	88721257	1587058582	0.0	4.016875415389478e-07	35.05	5.745	24	68	70	-42	0	0	"game"	
15-4-2022 13:4:13	1650042253.0223324	800.0	12.1	119332.24	22134.34	3301633.72	26.7	88721257	1587059416	0.0	1.6666658103168677e-06	34.563	5.745	24	68	70	-42	0	0	"game"	
15-4-2022 13:4:18	1650042258.026331	800.0	13.5	119333.99	22135.19	3301650.95	26.6	88721257	1587059617	0.0	4.016787760375535e-07	35.537	5.745	24	68	70	-42	0	0	"game"	
15-4-2022 13:4:23	1650042263.0303378	1500.0	8.7	119335.46	22135.87	3301669.06	26.6	88721257	1587060172	0.0	1.1091111887627437e-06	36.024	5.745	24	68	70	-42	0	0	"game"	
15-4-2022 13:4:28	1650042268.0343993	800.0	13.7	119337.28	22136.71	3301686.42	26.6	88721391	1587060714	2.6778248240529186e-07	1.0831201900273744e-06	36.024	5.745	24	68	70	-42	0	0	"game"	
15-4-2022 13:4:33	1650042273.038434	800.0	13.0	119339.1	22137.58	3301703.72	26.6	88721391	1587060915	0.0	4.0167586704740316e-07	36.511	5.745	24	68	70	-42	0	0	"game"	
15-4-2022 13:4:38	1650042278.0423045	1500.0	5.4	119340.03	22137.94	3301722.09	26.6	88721391	1587061317	0.0	8.033781070618609e-07	36.024	5.745	24	68	70	-42	0	0	"game"	
15-4-2022 13:4:43	1650042283.0463376	800.0	11.1	119341.67	22138.53	3301739.4	26.6	88721679	1587062019	5.755357626456778e-07	1.4028684214488396e-06	35.05	5.745	390	67	70	-43	0	0	"game"	
15-4-2022 13:4:48	1650042288.0503466	800.0	9.6	119343.26	22139.07	3301756.7	26.6	88721679	1587062220	0.0	4.0167793395712426e-07	35.05	5.745	390	67	70	-43	0	0	"game"	
15-4-2022 13:4:53	1650042293.054323	1500.0	5.9	119344.16	22139.35	3301775.05	26.7	88721745	1587063004	1.3189510790778704e-07	1.5667540090864398e-06	36.024	5.745	24	68	70	-42	0	0	"game"	
15-4-2022 13:4:58	1650042298.058403	800.0	9.7	119345.68	22139.82	3301792.38	26.7	88721745	1587063406	0.0	8.033444617379322e-07	36.024	5.745	24	68	70	-42	0	0	"game"	
15-4-2022 13:5:3	1650042303.062367	1500.0	7.7	119346.69	22140.35	3301810.73	26.7	88721745	1587063607	0.0	4.016815511003211e-07	37.485	5.745	24	68	70	-42	0	0	"game"	
15-4-2022 13:5:8	1650042308.0663707	800.0	11.7	119348.43	22141.12	3301828.01	26.6	88721745	1587064009	0.0	8.033567099937952e-07	35.537	5.745	24	68	70	-42	0	0	"game"	
15-4-2022 13:5:13	1650042313.0703216	1500.0	8.0	119349.64	22141.64	3301846.34	26.6	88721745	1587064411	0.0	8.033652074407339e-07	36.998	5.745	24	68	70	-42	0	0	"game"	
15-4-2022 13:5:18	1650042318.0743167	800.0	13.5	119351.44	22142.56	3301863.6	26.6	88721745	1587064843	0.0	8.633101840613214e-07	35.537	5.745	24	68	70	-42	0	0	"game"	
15-4-2022 13:5:23	1650042323.078322	1500.0	5.6	119352.52	22142.94	3301881.78	26.6	88721745	1587065599	0.0	1.510789798840012e-06	37.485	5.745	24	68	70	-42	0	0	"game"	
15-4-2022 13:5:28	1650042328.0823255	800.0	10.6	119354.19	22143.5	3301899.07	26.7	88721745	1587065800	0.0	4.0167837413509007e-07	36.024	5.745	24	68	70	-42	0	0	"game"	
15-4-2022 13:5:33	1650042333.0863216	1500.0	5.1	119355.12	22143.76	3301917.41	26.6	88721745	1587066202	0.0	8.033579348399233e-07	36.511	5.745	24	68	70	-42	0	0	"game"	
15-4-2022 13:5:38	1650042338.09038	800.0	9.9	119356.75	22144.2	3301934.74	26.7	88721745	1587066604	0.0	8.033479447976901e-07	35.05	5.745	24	68	70	-42	0	0	"game"	
15-4-2022 13:5:43	1650042343.0943475	800.0	11.0	119358.43	22144.79	3301952.01	26.7	88721745	1587066805	0.0	4.0168126402308426e-07	36.024	5.745	24	68	70	-42	0	0	"game"	
15-4-2022 13:5:48	1650042348.0983293	800.0	13.5	119360.19	22145.47	3301969.23	26.7	88722033	1587067507	5.755416583425532e-07	1.4028827922099733e-06	35.537	5.745	24	68	70	-42	0	0	"game"	
15-4-2022 13:5:53	1650042353.1023016	1500.0	9.8	119361.42	22146.14	3301987.56	26.6	88722099	1587068291	1.3189521474014352e-07	1.5667552781253411e-06	36.998	5.745	24	68	70	-42	0	0	"game"	
15-4-2022 13:5:58	1650042358.106336	800.0	13.3	119363.22	22147.05	3302004.87	26.7	88722099	1587068492	0.0	4.016758861853586e-07	36.511	5.745	24	68	70	-42	0	0	"game"	
15-4-2022 13:6:3	1650042363.1103287	800.0	13.1	119365.04	22147.93	3302022.07	26.7	88722099	1587068894	0.0	8.033585089878316e-07	36.024	5.745	24	68	70	-42	0	0	"game"	
15-4-2022 13:6:8	1650042368.1144445	800.0	9.4	119366.7	22148.52	3302039.37	26.6	88722099	1587069296	0.0	8.033387204965623e-07	36.511	5.745	24	68	70	-42	0	0	"game"	
15-4-2022 13:6:13	1650042373.1183622	800.0	11.3	119368.25	22149.06	3302056.62	26.6	88722099	1587069497	0.0	4.016852640028908e-07	36.024	5.745	24	68	70	-42	0	0	"game"	
15-4-2022 13:6:18	1650042378.1223032	1500.0	5.2	119369.18	22149.38	3302074.88	26.7	88722099	1587070130	0.0	1.265002909751025e-06	36.024	5.745	24	68	70	-42	0	0	"game"	
15-4-2022 13:6:23	1650042383.1262949	1500.0	7.0	119370.32	22149.71	3302093.05	26.7	88722099	1587070685	0.0	1.109114570801527e-06	36.511	5.745	24	68	70	-42	0	0	"game"	
15-4-2022 13:6:28	1650042388.1303575	800.0	12.6	119371.94	22150.48	3302110.41	26.6	88722099	1587071087	0.0	8.033472558384186e-07	36.024	5.745	24	68	70	-42	0	0	"game"	
15-4-2022 13:6:33	1650042393.1343467	800.0	13.9	119373.75	22151.37	3302127.71	26.6	88722233	1587071629	2.67786348286651e-07	1.0831358266519765e-06	36.511	5.745	24	68	70	-42	0	0	"game"	
15-4-2022 13:6:38	1650042398.1384327	800.0	13.0	119375.56	22152.21	3302144.99	26.6	88722233	1587071830	0.0	4.016717524293359e-07	36.024	5.745	24	68	70	-42	0	0	"game"	
15-4-2022 13:6:43	1650042403.142377	800.0	11.1	119377.28	22152.82	3302162.27	26.7	88722233	1587072232	0.0	8.033662792035644e-07	35.537	5.745	24	68	70	-42	0	0	"game"	
15-4-2022 13:6:48	1650042408.1463761	800.0	10.6	119378.89	22153.37	3302179.53	26.7	88722521	1587072934	5.755396565342567e-07	1.4028779128022506e-06	35.537	5.745	24	68	70	-42	0	0	"game"	
15-4-2022 13:6:53	1650042413.1503613	800.0	9.6	119380.45	22153.87	3302196.86	26.7	88722587	1587073517	1.3189487539090354e-07	1.1650713992863145e-06	36.024	5.745	24	68	70	-42	0	0	"game"	
15-4-2022 13:6:58	1650042418.1543245	800.0	11.0	119382.02	22154.42	3302214.15	26.7	88723636	1587074266	2.09633834494076e-06	1.4968135561111814e-06	36.511	5.745	24	68	70	-42	0	0	"game"	
15-4-2022 13:7:3	1650042423.1583276	800.0	12.1	119383.72	22155.16	3302231.45	26.6	88723636	1587074668	0.0	8.03356824822961e-07	35.537	5.745	24	68	70	-42	0	0	"game"	
15-4-2022 13:7:8	1650042428.162318	800.0	13.5	119385.5	22155.98	3302248.71	26.6	88723636	1587074869	0.0	4.016794267384852e-07	35.537	5.745	24	68	70	-42	0	0	"game"	
15-4-2022 13:7:13	1650042433.1629202	800.0	12.6	119387.28	22156.84	3302265.98	26.6	88723636	1587075271	0.0	8.039031706138148e-07	36.024	5.745	24	68	70	-42	0	0	"game"	
15-4-2022 13:7:18	1650042438.1669188	1500.0	5.8	119388.19	22157.18	3302284.32	26.7	88723636	1587075904	0.0	1.2649883842376685e-06	36.511	5.745	24	68	70	-42	0	0	"game"	
15-4-2022 13:7:23	1650042443.1705174	800.0	12.2	119389.81	22157.83	3302301.61	26.7	88723636	1587076660	0.0	1.5109125388211743e-06	36.998	5.745	24	68	70	-42	0	0	"game"	
15-4-2022 13:7:28	1650042448.1743045	1500.0	5.1	119390.67	22158.12	3302319.96	26.7	88723636	1587077062	0.0	8.033915047330294e-07	36.511	5.745	24	68	70	-42	0	0	"game"	
