time_stamp	time	cpu_freq	cpu	cpu_user_time	cpu_system_time	cpu_idle_time	memory	net_sent	net_recv	net_upload_rate	net_download_rate	temp	wifi_freq	bit_rate	link_quality	link_quality_max	signal_level	gpu	gpu_mem	state	net
28-4-2022 22:30:44	1651199444.2942593	1500.0	22.1	195356.22	20802.57	3392361.78	24.4	79958226	1300765720	0.0	0.0	42.355	5.745	433.3	61	70	-49	0	0	"game"	
28-4-2022 22:30:50	1651199450.382714	1500.0	11.5	195358.98	20803.34	3392381.8	25.4	80374310	1300771690	0.0006833983644547894	9.805443698376031e-06	44.303	5.745	433.3	63	70	-47	0	0	"game"	
28-4-2022 22:30:55	1651199455.3867285	1500.0	22.7	195360.98	20803.76	3392398.86	25.3	81672392	1300794849	0.0025940812163238306	4.6280841186337685e-05	45.277	5.745	433.3	60	70	-50	0	0	"game"	
28-4-2022 22:31:0	1651199460.3890138	1500.0	22.6	195363.32	20804.23	3392415.49	25.1	82664008	1300814567	0.0019823259810500924	3.941798407281218e-05	44.79	5.745	433.3	60	70	-50	0	0	"game"	
28-4-2022 22:31:5	1651199465.393032	800.0	9.0	195364.52	20804.65	3392433.32	25.0	82837606	1300818343	0.00034691719605911347	7.5459356232169296e-06	43.816	5.745	24	66	70	-44	0	0	"game"	
28-4-2022 22:31:10	1651199470.397006	1500.0	6.6	195365.41	20805.0	3392451.67	25.0	82837606	1300818544	0.0	4.0168074728509196e-07	44.79	5.745	24	66	70	-44	0	0	"game"	
28-4-2022 22:31:15	1651199475.4011335	1500.0	5.7	195366.44	20805.42	3392469.68	25.0	82837606	1300818745	0.0	4.0166842252108166e-07	43.329	5.745	24	66	70	-44	0	0	"game"	
28-4-2022 22:31:20	1651199480.4050605	800.0	10.3	195367.88	20805.97	3392487.08	25.0	82837606	1300819090	0.0	6.894585003395513e-07	44.79	5.745	24	66	70	-44	0	0	"game"	
28-4-2022 22:31:25	1651199485.4090374	1500.0	5.6	195368.73	20806.25	3392505.43	25.0	82837606	1300819846	0.0	1.5107983647954565e-06	44.303	5.745	24	66	70	-44	0	0	"game"	
28-4-2022 22:31:30	1651199490.4131336	800.0	11.3	195370.2	20806.91	3392522.75	25.0	82837606	1300820248	0.0	8.033418590316762e-07	43.816	5.745	24	66	70	-44	0	0	"game"	
28-4-2022 22:31:35	1651199495.4170802	800.0	10.3	195371.72	20807.4	3392540.04	25.0	82837606	1300820449	0.0	4.0168294821539834e-07	42.355	5.745	24	66	70	-44	0	0	"game"	
