time_stamp	time	cpu_freq	cpu	cpu_user_time	cpu_system_time	cpu_idle_time	memory	net_sent	net_recv	net_upload_rate	net_download_rate	temp	wifi_freq	bit_rate	link_quality	link_quality_max	signal_level	gpu	gpu_mem	state	net
26-4-2022 16:42:5	1651005725.2082353	1500.0	14.4	603719.62	117208.09	6485493.03	12.2	434448424	15064991913	0.0	0.0	33.589	5.745	433.3	62	70	-48	0	0	"stream"	
26-4-2022 16:42:11	1651005731.315083	1500.0	57.5	603725.82	117210.34	6485505.41	17.3	434604182	15065078908	0.0002550546632947575	0.00014245483656266406	36.511	5.745	433.3	62	70	-48	0	0	"stream"	
26-4-2022 16:42:16	1651005736.3190095	1500.0	87.5	603739.15	117213.74	6485507.78	22.4	434884460	15068806485	0.0005601161390507686	0.0074493040383278265	39.433	5.745	433.3	62	70	-48	0	0	"stream"	
26-4-2022 16:42:21	1651005741.3230581	1500.0	73.0	603749.4	117215.43	6485514.44	24.8	434938317	15068831555	0.00010762685268852693	5.00994336279661e-05	39.433	5.745	433.3	62	70	-48	0	0	"stream"	
26-4-2022 16:42:26	1651005746.3270864	1500.0	73.7	603757.3	117217.23	6485518.6	23.4	435041519	15069394514	0.00020623784158270924	0.0011250116185690239	39.92	5.745	433.3	62	70	-48	0	0	"stream"	
26-4-2022 16:42:31	1651005751.3309922	1500.0	74.1	603768.01	117220.72	6485523.86	24.0	435239387	15070102592	0.0003954271102809609	0.0014150506266476753	40.894	5.745	433.3	63	70	-47	0	0	"stream"	
26-4-2022 16:42:36	1651005756.3350093	1500.0	82.4	603780.82	117223.27	6485528.02	25.5	435358292	15070547037	0.0002376190913738938	0.000888176418701234	41.868	5.745	433.3	63	70	-47	0	0	"stream"	
26-4-2022 16:42:41	1651005761.3390942	1500.0	62.7	603793.48	117225.6	6485532.4	25.7	435482771	15070618995	0.0002487547760287428	0.00014379852162594713	41.868	5.745	390	66	70	-44	0	0	"stream"	
26-4-2022 16:42:46	1651005766.343129	1500.0	79.0	603804.33	117227.51	6485539.25	26.2	435566398	15071271811	0.00016711914295310042	0.0013045792677732217	41.868	5.745	433.3	64	70	-46	0	0	"stream"	
26-4-2022 16:42:51	1651005771.3470032	1500.0	71.0	603816.91	117229.66	6485543.61	26.2	435617444	15072384690	0.00010201295420332888	0.002224034683635279	41.381	5.745	433.3	64	70	-46	0	0	"stream"	
26-4-2022 16:42:56	1651005776.3510807	1500.0	51.4	603824.23	117231.28	6485554.35	24.4	435656227	15072749625	7.750279748332215e-05	0.000729275285552334	42.355	5.745	433.3	65	70	-45	0	0	"stream"	
26-4-2022 16:43:1	1651005781.3550076	1500.0	35.6	603831.18	117233.18	6485564.42	24.1	435663676	15072750984	1.4886308316027009e-05	2.715866962207102e-06	42.355	5.745	390	64	70	-46	0	0	"stream"	
26-4-2022 16:43:6	1651005786.359	1500.0	38.5	603837.85	117234.58	6485573.85	24.1	435735992	15073307260	0.00014451660871634696	0.0011116643762140415	41.381	5.745	433.3	66	70	-44	0	0	"stream"	
26-4-2022 16:43:11	1651005791.362987	1500.0	36.7	603844.6	117235.82	6485585.42	24.2	435742535	15073313643	1.3075573344562478e-05	1.2755828313975592e-05	40.407	5.745	433.3	66	70	-44	0	0	"stream"	
26-4-2022 16:43:16	1651005796.3670928	1500.0	36.0	603850.8	117237.23	6485597.26	24.1	435753731	15073319200	2.2373627643506582e-05	1.1104881101729732e-05	40.407	5.745	433.3	64	70	-46	0	0	"stream"	
26-4-2022 16:43:21	1651005801.371014	1500.0	48.1	603858.96	117238.65	6485606.96	24.6	435797058	15073853897	8.65860945026262e-05	0.0010685559806187994	41.868	5.745	390	65	70	-45	0	0	"stream"	
26-4-2022 16:43:26	1651005806.3749797	1500.0	55.0	603866.23	117239.88	6485617.9	24.3	435847648	15075499730	0.0001010998153863277	0.003289057372143228	42.842	5.745	433.3	64	70	-46	0	0	"stream"	
26-4-2022 16:43:31	1651005811.378981	1500.0	33.6	603872.41	117240.83	6485629.19	24.3	435849037	15075501409	2.775778611543773e-06	3.355314822737217e-06	41.868	5.745	390	65	70	-45	0	0	"stream"	
26-4-2022 16:43:36	1651005816.3830485	1500.0	36.2	603878.56	117241.85	6485641.45	24.3	435859164	15076035249	2.0237537083499693e-05	0.001066812165167915	41.868	5.745	433.3	65	70	-45	0	0	"stream"	
26-4-2022 16:43:41	1651005821.387123	1500.0	36.8	603884.85	117242.95	6485653.66	24.3	435860830	15076036432	3.329286915141117e-06	2.364073481759869e-06	41.868	5.745	433.3	65	70	-45	0	0	"stream"	
