time_stamp	time	cpu_freq	cpu	cpu_user_time	cpu_system_time	cpu_idle_time	memory	net_sent	net_recv	net_upload_rate	net_download_rate	temp	wifi_freq	bit_rate	link_quality	link_quality_max	signal_level	gpu	gpu_mem	state	net
14-4-2022 17:0:37	1649970037.7969754	1800.0	26.4	152903.22	27512.36	2971645.46	8.4	460009352	1989205718	0.0	0.0	41.868	5.745	24	65	70	-45	0	0	"augmented_reality"	
14-4-2022 17:0:43	1649970043.849806	1800.0	32.9	152909.84	27514.04	2971661.2	8.6	462877992	1989248001	0.004739336261041496	6.985657145044953e-05	44.303	5.745	433.3	68	70	-42	0	0	"augmented_reality"	
14-4-2022 17:0:48	1649970048.8537998	1800.0	29.9	152914.91	27515.04	2971675.11	9.2	462877992	1989248202	0.0	4.016791588025522e-07	44.303	5.745	24	68	70	-42	0	0	"augmented_reality"	
14-4-2022 17:0:53	1649970053.8579204	1800.0	30.6	152920.15	27516.05	2971688.86	9.3	462877992	1989248604	0.0	8.033379550039132e-07	45.277	5.745	24	68	70	-42	0	0	"augmented_reality"	
14-4-2022 17:0:58	1649970058.8619118	1800.0	30.0	152925.24	27517.01	2971702.79	9.5	462877992	1989249360	0.0	1.5107939738313718e-06	45.764	5.745	24	68	70	-42	0	0	"augmented_reality"	
14-4-2022 17:1:3	1649970063.8659377	1800.0	29.8	152930.6	27517.94	2971716.47	9.0	462877992	1989249705	0.0	6.894448677998701e-07	44.79	5.745	24	68	70	-42	0	0	"augmented_reality"	
14-4-2022 17:1:8	1649970068.8699448	1800.0	32.3	152935.8	27518.98	2971730.21	8.7	462877992	1989250107	0.0	8.033561741247886e-07	47.225	5.745	24	68	70	-42	0	0	"augmented_reality"	
14-4-2022 17:1:13	1649970073.8739612	1800.0	30.0	152940.84	27519.95	2971744.11	9.4	462877992	1989250308	0.0	4.0167734067530556e-07	46.251	5.745	24	68	70	-42	0	0	"augmented_reality"	
14-4-2022 17:1:18	1649970078.875189	1800.0	29.9	152946.02	27521.01	2971757.85	9.3	462877992	1989250710	0.0	8.038026092797379e-07	46.251	5.745	24	68	70	-42	0	0	"augmented_reality"	
14-4-2022 17:1:23	1649970083.8792286	1800.0	32.8	152951.2	27521.98	2971771.68	9.5	462878414	1989251840	8.433186784568265e-07	2.2581756081900804e-06	48.199	5.745	24	68	70	-42	0	0	"augmented_reality"	
