time_stamp	time	cpu_freq	cpu	cpu_user_time	cpu_system_time	cpu_idle_time	memory	net_sent	net_recv	net_upload_rate	net_download_rate	temp	wifi_freq	bit_rate	link_quality	link_quality_max	signal_level	gpu	gpu_mem	state	net
18-4-2022 11:14:18	1650294858.981617	1200.0	22.5	25.52	20.85	807.35	23.4	2329772	233362	0.0	0.0	48.199	0	0	0	0	0	0	0	"mining"	
18-4-2022 11:14:25	1650294865.0538142	1200.0	4.0	26.2	21.18	830.49	23.4	2382324	247473	8.654527888158618e-05	2.323870509777102e-05	47.712	0	0	0	0	0	0	0	"mining"	
18-4-2022 11:14:30	1650294870.0561264	600.0	0.5	26.24	21.21	850.42	23.1	2382366	248307	8.396117327411593e-08	1.6672290121574449e-06	47.712	0	0	0	0	0	0	0	"mining"	
18-4-2022 11:14:35	1650294875.060341	1200.0	6.3	26.38	21.35	870.05	23.5	2384738	256566	4.740004626189368e-06	1.6504088620446034e-05	47.225	0	0	0	0	0	0	0	"mining"	
18-4-2022 11:14:40	1650294880.0609338	1200.0	98.7	41.72	21.48	871.47	24.2	2388334	259837	7.191147206158556e-06	6.541224280129209e-06	54.043	0	0	0	0	0	0	0	"mining"	
18-4-2022 11:14:45	1650294885.0641205	1200.0	98.0	56.85	21.54	871.76	24.1	2389242	260807	1.8148433267638433e-06	1.9387643468732685e-06	55.017	0	0	0	0	0	0	0	"mining"	
18-4-2022 11:14:50	1650294890.0681186	1200.0	98.7	71.57	21.62	872.05	24.1	2390190	261757	1.894485154078067e-06	1.8984819582005947e-06	56.478	0	0	0	0	0	0	0	"mining"	
18-4-2022 11:14:55	1650294895.0721233	1200.0	97.2	88.0	21.68	872.35	24.2	2390946	263145	1.510789942804847e-06	2.773778360599375e-06	55.991	0	0	0	0	0	0	0	"mining"	
18-4-2022 11:15:0	1650294900.0761168	1200.0	96.8	106.81	21.74	873.3	24.1	2391752	264114	1.6107135195039896e-06	1.936453350371422e-06	56.478	0	0	0	0	0	0	0	"mining"	
18-4-2022 11:15:5	1650294905.0801163	1200.0	96.5	125.36	21.79	874.54	24.3	2393131	265918	2.755795654673236e-06	3.605116287911905e-06	58.426	0	0	0	0	0	0	0	"mining"	
18-4-2022 11:15:10	1650294910.084123	1200.0	93.0	143.91	21.86	875.82	24.2	2394901	267750	3.537165581341055e-06	3.6610662966196682e-06	57.452	0	0	0	0	0	0	0	"mining"	
18-4-2022 11:15:15	1650294915.088116	1200.0	93.2	162.89	21.9	876.63	24.3	2395334	268190	8.653089583189999e-07	8.792977867444803e-07	57.939	0	0	0	0	0	0	0	"mining"	
18-4-2022 11:15:20	1650294920.0921156	1200.0	96.7	181.9	21.93	877.46	24.3	2395720	268905	7.71382938376703e-07	1.4288569972521828e-06	58.426	0	0	0	0	0	0	0	"mining"	
18-4-2022 11:15:25	1650294925.0961173	1200.0	96.5	200.78	21.96	878.42	24.3	2396411	269784	1.3808948374294559e-06	1.7565941564406539e-06	59.4	0	0	0	0	0	0	0	"mining"	
18-4-2022 11:15:30	1650294930.1001182	1200.0	93.5	219.69	22.0	879.36	24.3	2397186	270913	1.5487607119794975e-06	2.256194637193358e-06	59.4	0	0	0	0	0	0	0	"mining"	
18-4-2022 11:15:35	1650294935.1041179	1200.0	93.2	238.56	22.05	880.32	24.2	2398811	272535	3.2474022664822336e-06	3.2414070622979587e-06	60.374	0	0	0	0	0	0	0	"mining"	
18-4-2022 11:15:40	1650294940.1081178	1200.0	89.7	257.27	22.12	881.42	24.3	2399889	273700	2.154276600907639e-06	2.328137513967903e-06	60.374	0	0	0	0	0	0	0	"mining"	
18-4-2022 11:15:45	1650294945.112118	1200.0	93.0	276.13	22.15	882.4	24.2	2400643	274873	1.5067945080634933e-06	2.344124612677026e-06	60.861	0	0	0	0	0	0	0	"mining"	
