time_stamp	time	cpu_freq	cpu	cpu_user_time	cpu_system_time	cpu_idle_time	memory	net_sent	net_recv	net_upload_rate	net_download_rate	temp	wifi_freq	bit_rate	link_quality	link_quality_max	signal_level	gpu	gpu_mem	state	net
26-4-2022 16:40:52	1651005652.4647188	1500.0	26.6	1917.47	1097.23	2839552.51	27.2	9127609	68042070	0.0	0.0	35.537	5.745	433.3	61	70	-49	0	0	"augmented_reality"	
26-4-2022 16:40:58	1651005658.5471053	1500.0	34.4	1921.38	1098.45	2839569.11	31.4	9281821	68046622	0.0002535386400718926	7.483904557409639e-06	37.485	5.745	433.3	61	70	-49	0	0	"augmented_reality"	
26-4-2022 16:41:3	1651005663.5491133	1500.0	30.6	1926.63	1099.4	2839582.88	31.0	9281821	68047378	0.0	1.511393036262922e-06	38.459	5.745	24	67	70	-43	0	0	"augmented_reality"	
26-4-2022 16:41:8	1651005668.553106	1500.0	30.7	1931.96	1100.27	2839596.67	30.9	9281821	68047719	0.0	6.814558171953882e-07	39.92	5.745	24	67	70	-43	0	0	"augmented_reality"	
26-4-2022 16:41:13	1651005673.5571375	1500.0	31.3	1937.34	1101.16	2839610.39	32.0	9281955	68048265	2.6778408998596323e-07	1.0911202472562381e-06	39.433	5.745	24	67	70	-43	0	0	"augmented_reality"	
26-4-2022 16:41:18	1651005678.5611699	1500.0	30.9	1942.61	1102.13	2839624.18	30.8	9281955	68048667	0.0	8.033521168540786e-07	39.433	5.745	24	67	70	-43	0	0	"augmented_reality"	
26-4-2022 16:41:23	1651005683.5651906	1500.0	30.1	1947.96	1102.98	2839637.96	30.9	9281955	68048868	0.0	4.0167699618989244e-07	40.407	5.745	24	67	70	-43	0	0	"augmented_reality"	
26-4-2022 16:41:28	1651005688.569233	1500.0	30.6	1953.3	1103.87	2839651.77	30.9	9281955	68049270	0.0	8.033505092675861e-07	40.894	5.745	24	67	70	-43	0	0	"augmented_reality"	
26-4-2022 16:41:33	1651005693.573332	1500.0	30.2	1958.59	1104.76	2839665.58	32.0	9282243	68050398	5.755281669724104e-07	2.254151987308607e-06	40.407	5.745	390	67	70	-43	0	0	"augmented_reality"	
26-4-2022 16:41:38	1651005698.5770977	1500.0	30.7	1963.9	1105.61	2839679.37	29.9	9282309	68050627	1.3190066341981638e-07	4.576553321687568e-07	40.407	5.745	390	66	70	-44	0	0	"augmented_reality"	
26-4-2022 16:41:43	1651005703.5812147	1500.0	30.9	1969.18	1106.52	2839693.17	30.9	9282309	68051173	0.0	1.0911015843315965e-06	40.894	5.745	24	67	70	-43	0	0	"augmented_reality"	
26-4-2022 16:41:48	1651005708.585215	1500.0	30.3	1974.47	1107.31	2839707.07	30.9	9282309	68051575	0.0	8.033572458635167e-07	41.381	5.745	24	66	70	-44	0	0	"augmented_reality"	
26-4-2022 16:41:53	1651005713.589043	1500.0	31.2	1979.66	1108.2	2839720.93	32.9	9282309	68051776	0.0	4.016924794789298e-07	41.381	5.745	24	66	70	-44	0	0	"augmented_reality"	
26-4-2022 16:41:58	1651005718.5930946	1500.0	30.6	1984.9	1109.08	2839734.83	30.8	9282309	68052178	0.0	8.033490165144612e-07	41.381	5.745	24	66	70	-44	0	0	"augmented_reality"	
26-4-2022 16:42:3	1651005723.5971231	1500.0	30.9	1990.24	1109.94	2839748.63	34.0	9282309	68052733	0.0	1.1091063799618619e-06	40.894	5.745	24	66	70	-44	0	0	"augmented_reality"	
26-4-2022 16:42:8	1651005728.5976367	1500.0	30.7	1995.54	1110.88	2839762.36	32.9	9282309	68052934	0.0	4.01958714529462e-07	41.868	5.745	24	67	70	-43	0	0	"augmented_reality"	
26-4-2022 16:42:13	1651005733.6016438	1500.0	30.5	2000.95	1111.77	2839776.07	32.8	9282309	68053279	0.0	6.894474628682886e-07	40.407	5.745	24	67	70	-43	0	0	"augmented_reality"	
