time_stamp	time	cpu_freq	cpu	cpu_user_time	cpu_system_time	cpu_idle_time	memory	net_sent	net_recv	net_upload_rate	net_download_rate	temp	wifi_freq	bit_rate	link_quality	link_quality_max	signal_level	gpu	gpu_mem	state	net
20-4-2022 15:31:5	1650483065.5123985	1800.0	25.7	367617.01	46861.49	4781850.07	7.8	585201195	3711726887	0.0	0.0	38.459	5.745	433.3	65	70	-45	0	0	"game"	
20-4-2022 15:31:11	1650483071.5685024	900.0	10.9	367620.49	46862.23	4781869.57	8.1	585429301	3711732681	0.00037665469760748147	9.567206991213505e-06	38.459	5.745	433.3	69	70	-41	0	0	"game"	
20-4-2022 15:31:16	1650483076.5727704	900.0	10.7	367622.19	46862.83	4781886.93	8.0	585429301	3711733083	0.0	8.033143020000409e-07	38.459	5.745	24	69	70	-41	0	0	"game"	
20-4-2022 15:31:21	1650483081.576639	800.0	11.5	367623.69	46863.46	4781904.37	8.1	585429301	3711733284	0.0	4.0168920664467733e-07	37.485	5.745	24	69	70	-41	0	0	"game"	
20-4-2022 15:31:26	1650483086.5805104	900.0	11.0	367625.27	46864.08	4781921.74	8.1	585429301	3711733686	0.0	8.033779539482016e-07	38.459	5.745	24	69	70	-41	0	0	"game"	
20-4-2022 15:31:31	1650483091.5845046	800.0	11.6	367626.93	46864.84	4781939.14	8.1	585429301	3711734232	0.0	1.0911283572497842e-06	38.946	5.745	24	69	70	-41	0	0	"game"	
20-4-2022 15:31:36	1650483096.588476	1800.0	6.1	367627.89	46865.11	4781957.66	8.1	585429301	3711734433	0.0	4.0168095780781724e-07	39.433	5.745	24	69	70	-41	0	0	"game"	
20-4-2022 15:31:41	1650483101.5925975	800.0	10.8	367629.45	46865.61	4781975.05	8.1	585429301	3711734835	0.0	8.033378019055585e-07	38.459	5.745	24	69	70	-41	0	0	"game"	
20-4-2022 15:31:46	1650483106.5965838	800.0	11.7	367631.09	46866.42	4781992.39	8.1	585429301	3711735591	0.0	1.5107954854718643e-06	38.946	5.745	24	69	70	-41	0	0	"game"	
20-4-2022 15:31:51	1650483111.6004734	1800.0	6.8	367632.09	46866.74	4782010.74	8.1	585429301	3711735792	0.0	4.0168752239988177e-07	40.407	5.745	24	69	70	-41	0	0	"game"	
20-4-2022 15:31:56	1650483116.6045015	900.0	10.3	367633.77	46867.58	4782028.15	8.1	585429301	3711736194	0.0	8.033528058216878e-07	38.459	5.745	24	70	70	-40	0	0	"game"	
20-4-2022 15:32:1	1650483121.608511	900.0	11.9	367635.37	46868.22	4782045.45	8.1	585429589	3711737108	5.755384773934209e-07	1.8265353067277317e-06	37.972	5.745	433.3	69	70	-41	0	0	"game"	
20-4-2022 15:32:6	1650483126.6125624	900.0	10.5	367636.96	46868.92	4782062.84	8.1	585429655	3711737337	1.3189312839837676e-07	4.576291879277012e-07	38.946	5.745	390	69	70	-41	0	0	"game"	
20-4-2022 15:32:11	1650483131.6165655	900.0	12.1	367638.54	46869.65	4782080.18	8.1	585429789	3711737883	2.6778560827432035e-07	1.091126433714768e-06	38.459	5.745	24	69	70	-41	0	0	"game"	
